lamda,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8
0.01,0.82621,0.0727691,-0.273063,0.317323,-0.0182212,-0.0410979,-0.818796,-0.695754
0.0120679,0.82621,0.0727693,-0.273062,0.317323,-0.0182211,-0.0410979,-0.818795,-0.695753
0.0145635,0.82621,0.0727695,-0.273062,0.317322,-0.0182211,-0.0410979,-0.818793,-0.695751
0.0175751,0.82621,0.0727698,-0.273061,0.317321,-0.018221,-0.041098,-0.81879,-0.695748
0.0212095,0.826209,0.0727702,-0.27306,0.317319,-0.0182208,-0.041098,-0.818788,-0.695746
0.0255955,0.826209,0.0727706,-0.273058,0.317318,-0.0182207,-0.0410981,-0.818784,-0.695742
0.0308884,0.826208,0.0727712,-0.273057,0.317316,-0.0182205,-0.0410981,-0.81878,-0.695738
0.0372759,0.826208,0.0727718,-0.273055,0.317314,-0.0182203,-0.0410982,-0.818775,-0.695733
0.0449843,0.826207,0.0727726,-0.273053,0.317311,-0.01822,-0.0410983,-0.818769,-0.695727
0.0542868,0.826206,0.0727735,-0.27305,0.317308,-0.0182197,-0.0410984,-0.818762,-0.69572
0.0655129,0.826205,0.0727747,-0.273047,0.317304,-0.0182193,-0.0410986,-0.818754,-0.695711
0.0790604,0.826204,0.072776,-0.273043,0.3173,-0.0182188,-0.0410988,-0.818743,-0.695701
0.0954095,0.826202,0.0727777,-0.273038,0.317294,-0.0182183,-0.041099,-0.818731,-0.695688
0.11514,0.8262,0.0727797,-0.273032,0.317287,-0.0182176,-0.0410992,-0.818716,-0.695672
0.13895,0.826198,0.0727821,-0.273025,0.317279,-0.0182168,-0.0410995,-0.818697,-0.695654
0.167683,0.826195,0.072785,-0.273017,0.317269,-0.0182158,-0.0410999,-0.818675,-0.695632
0.202359,0.826192,0.0727885,-0.273007,0.317257,-0.0182146,-0.0411004,-0.818649,-0.695605
0.244205,0.826188,0.0727927,-0.272995,0.317243,-0.0182131,-0.0411009,-0.818617,-0.695572
0.294705,0.826183,0.0727978,-0.27298,0.317226,-0.0182114,-0.0411016,-0.818578,-0.695533
0.355648,0.826178,0.072804,-0.272962,0.317205,-0.0182093,-0.0411024,-0.818531,-0.695485
0.429193,0.826171,0.0728114,-0.272941,0.31718,-0.0182067,-0.0411033,-0.818475,-0.695428
0.517947,0.826162,0.0728203,-0.272915,0.317149,-0.0182036,-0.0411045,-0.818407,-0.695359
0.625055,0.826152,0.0728311,-0.272883,0.317113,-0.0181999,-0.0411059,-0.818325,-0.695276
0.754312,0.82614,0.0728442,-0.272846,0.317068,-0.0181955,-0.0411076,-0.818226,-0.695175
0.910298,0.826125,0.0728599,-0.2728,0.317015,-0.0181901,-0.0411096,-0.818106,-0.695054
1.09854,0.826107,0.0728788,-0.272745,0.31695,-0.0181836,-0.0411121,-0.817962,-0.694908
1.32571,0.826085,0.0729017,-0.272679,0.316873,-0.0181758,-0.0411151,-0.817789,-0.694732
1.59986,0.826059,0.0729293,-0.272599,0.316779,-0.0181663,-0.0411187,-0.817579,-0.694519
1.9307,0.826028,0.0729626,-0.272503,0.316666,-0.0181549,-0.041123,-0.817326,-0.694262
2.32995,0.82599,0.0730027,-0.272386,0.316529,-0.0181412,-0.0411282,-0.817022,-0.693953
2.81177,0.825944,0.073051,-0.272246,0.316364,-0.0181246,-0.0411344,-0.816654,-0.69358
3.39322,0.825888,0.0731092,-0.272077,0.316166,-0.0181047,-0.041142,-0.816211,-0.693131
4.09492,0.825822,0.0731794,-0.271873,0.315926,-0.0180806,-0.0411511,-0.815678,-0.692589
4.94171,0.825741,0.0732639,-0.271627,0.315638,-0.0180516,-0.041162,-0.815035,-0.691937
5.96362,0.825644,0.0733657,-0.27133,0.315289,-0.0180168,-0.0411752,-0.814261,-0.691151
7.19686,0.825526,0.0734881,-0.270972,0.31487,-0.0179748,-0.0411911,-0.813329,-0.690205
8.68511,0.825384,0.0736353,-0.270541,0.314364,-0.0179243,-0.0412102,-0.812209,-0.689068
10.4811,0.825212,0.0738122,-0.270021,0.313756,-0.0178637,-0.041233,-0.810861,-0.6877
12.6486,0.825005,0.0740246,-0.269395,0.313023,-0.0177908,-0.0412605,-0.809243,-0.686056
15.2642,0.824755,0.0742793,-0.26864,0.312141,-0.0177034,-0.0412934,-0.8073,-0.684083
18.4207,0.824452,0.0745843,-0.267733,0.31108,-0.0175987,-0.0413328,-0.804971,-0.681718
22.23,0.824087,0.0749492,-0.266641,0.309805,-0.0174735,-0.0413799,-0.802182,-0.678886
26.827,0.823645,0.0753847,-0.265328,0.308274,-0.0173239,-0.041436,-0.798849,-0.675499
32.3746,0.823111,0.0759035,-0.263752,0.306438,-0.0171456,-0.0415027,-0.794872,-0.671458
39.0694,0.822466,0.0765199,-0.261861,0.304239,-0.0169336,-0.0415817,-0.790137,-0.666646
47.1487,0.821686,0.0772498,-0.259595,0.301609,-0.0166824,-0.0416752,-0.784515,-0.660931
56.8987,0.820743,0.0781111,-0.256885,0.29847,-0.0163857,-0.0417851,-0.777861,-0.654165
68.6649,0.819604,0.0791229,-0.253651,0.294733,-0.0160368,-0.0419137,-0.770015,-0.646183
82.8643,0.818228,0.0803053,-0.249801,0.290297,-0.0156286,-0.0420633,-0.760803,-0.636809
100,0.816568,0.0816783,-0.245232,0.28505,-0.0151538,-0.0422361,-0.750042,-0.625852
